,Id,GeographicAreaName,TotalPopulation,SexRatio(males per 100 females),Population_Under5Years,Population_5to9Years,Population_10to14Years,Population_15to19Years,Population_20to24Years,Population_25to34Years,Population_35to44Years,Population_45to54Years,Population_55to59Years,Population_60to64Years,Population_65to74Years,Population_75to84Years,Population_85YearsAndOver,MedianAgeInYears
0,8600000US35004,ZCTA5 35004,12045,94.1,805,1075,898,477,578,2088,1628,1200,886,683,1017,534,176,35.5
1,8600000US35005,ZCTA5 35005,7344,86.1,504,453,511,499,214,788,795,968,612,561,798,485,156,44.0
2,8600000US35006,ZCTA5 35006,2883,108.2,96,153,303,129,156,183,367,430,296,260,280,201,29,47.2
3,8600000US35007,ZCTA5 35007,26332,95.0,1936,1992,1837,1762,1376,3119,3849,3907,1665,1323,2096,1106,364,37.7
4,8600000US35010,ZCTA5 35010,20613,90.5,1306,1465,944,1217,1128,2513,2106,2950,1512,1472,2421,1155,424,42.6
5,8600000US35013,ZCTA5 35013,46,,0,0,0,0,0,0,15,31,0,0,0,0,0,47.9
6,8600000US35014,ZCTA5 35014,4963,104.5,96,217,249,515,285,479,659,926,223,421,626,194,73,43.9
7,8600000US35016,ZCTA5 35016,17208,95.4,1204,1024,1118,1123,971,2103,1789,2101,1126,1169,2063,1130,287,41.0
8,8600000US35019,ZCTA5 35019,2492,106.5,143,128,145,225,149,335,225,316,261,166,237,146,16,39.9
9,8600000US35020,ZCTA5 35020,25757,90.9,1717,1389,1419,1847,1674,3352,3398,2970,1807,1763,2758,1214,449,38.8
10,8600000US35022,ZCTA5 35022,21587,90.5,1012,746,1339,1165,1755,3132,2651,2782,1547,1442,2567,1125,324,41.4
11,8600000US35023,ZCTA5 35023,23523,101.7,1687,1223,1518,1338,1593,3006,2863,3178,1567,1573,2275,1094,608,40.2
12,8600000US35031,ZCTA5 35031,7779,92.7,373,467,431,589,535,1043,717,1405,521,511,614,427,146,41.7
13,8600000US35032,ZCTA5 35032,44,76.0,0,3,6,3,0,2,4,10,6,2,6,2,0,53.5
14,8600000US35033,ZCTA5 35033,2946,106.0,57,212,271,271,134,141,505,362,298,202,345,148,0,42.3
15,8600000US35034,ZCTA5 35034,6416,172.6,547,305,199,371,498,1324,900,1192,315,185,373,207,0,34.8
16,8600000US35035,ZCTA5 35035,821,156.6,0,0,24,33,33,69,45,252,89,78,106,92,0,51.9
17,8600000US35036,ZCTA5 35036,204,85.5,24,20,19,17,7,31,12,22,19,12,17,0,4,26.8
18,8600000US35040,ZCTA5 35040,17311,89.6,1512,1338,1310,1389,828,2726,2871,2177,784,664,935,507,270,33.7
19,8600000US35042,ZCTA5 35042,6078,93.4,309,272,373,322,252,598,731,837,401,608,891,326,158,47.6
20,8600000US35043,ZCTA5 35043,12153,84.2,613,1100,1458,711,436,1372,2188,1650,612,501,1092,304,116,37.5
21,8600000US35044,ZCTA5 35044,7409,93.6,455,578,443,413,447,907,1132,974,308,437,763,350,202,39.8
22,8600000US35045,ZCTA5 35045,15143,88.6,819,1105,836,1018,754,2138,2351,1868,930,1027,1366,747,184,39.2
