,Lab Id,Address,Location,Zipcode
0,L152,"3800 PLEASANT HILL RD STE 1, DULUTH, GA 30096","34.000319,-84.1629724",30096.0
1,L520,"1614 N JAMES ST, ROME, NY 13440","43.2311327,-75.4445363",13440.0
2,L141,"12911 120TH AVE NE STE D60, KIRKLAND, WA 98034","47.7162786,-122.1838152",98034.0
3,L524,"5667 PEACHTREE DUNWOODY RD 250, ATLANTA, GA 30342","33.9093875,-84.3529096",30342.0
4,L545,"1204 IL HWY 164, OQUAWKA, IL 61469","40.9309925,-90.9437598",61469.0
5,L158,"3400 ARAMINGO AVE STE 4, PHILADELPHIA, PA 19134
","39.9924717,-75.1035442",9134.0
6,L172,"1129 HOSPITAL DR STE 5E, STOCKBRIDGE, GA 30281","33.5113314,-84.2316312",30281.0
7,L518,"1763 SANTA RITA ROAD, PLEASANTON, CA 94566","37.6759064,-121.8772172",94566.0
8,L531,"5860 OWENS DR. SUITE 120, PLEASANTON, CA 94588","37.6993,-121.9014055",94588.0
9,L160,"135 BROADWAY, LAWRENCE, MA 01840","42.7065088,-71.171084",1840.0
10,L533,"120 LA CASA VIA SUITE 102, WALNUT CREEK, CA 94598","37.9115042,-122.0444705",94598.0
11,L537,"5255 MARLTON PIKE RT 70 STE D, PENNSAUKEN, NJ 08109","39.934946,-75.0669325",8109.0
12,L061,"1135 116TH AVE NE STE 110, BELLEVUE, WA 98004","47.6208696,-122.1889933",98004.0
13,L536,"5511 CHAMBLEE DUNWOODY, DUNWOODY, GA 30338","33.9484477,-84.3369582",30338.0
14,L153,"790 CHURCH ST NE SUITE 505, MARIETTA, GA 30060","33.9710116,-84.5511075",30060.0
15,L504,"685 AVE OF THE CITIES, SILVIS, IL 61282","41.4877432,-90.4216658",61282.0
16,L132,"2464 ROSWELL RD, MARIETTA, GA 30062","33.9735891,-84.4822033",30062.0
17,L070,"150 N. MCDADE BLVD., GLENOLDEN, PA 19036","39.9076973,-75.289741",19036.0
18,L521,"296 OLD OAK STREET, PEMBROKE, MA 02359","42.1077525,-70.7667516",2359.0
19,L166,"101 EAST OLNEY AVENUE, PHILADELPHIA, PA 19120","40.0374664,-75.1206684",19120.0
20,L121,"15611 BEL-RED RD SUITE C, BELLEVUE, WA 98008","47.632801,-122.1330652",98008.0
21,L527,"832 NORTH GALENA AVENUE, DIXON, IL 61021","41.8554575,-89.489907",61021.0
22,L534,"550 PEACHTREE ST NE 1460, ATLANTA, GA 30308","33.7681453,-84.388286",30308.0
23,L720,"12303 NE 130TH LN 520, KIRKLAND, WA 98034","47.7158288,-122.180939",98034.0
24,L138,"1520 7TH ST, MOLINE, IL 61265","41.497223,-90.5296326",61265.0
